pssg_id,ticket,fare,class,cabin
2,PC 17599,71.2833,First,C85
10,237736,30.0708,Second,
20,2649,7.225,Third,
27,2631,7.225,Third,
31,PC 17601,27.7208,First,
32,PC 17569,146.5208,First,B78
35,PC 17604,82.1708,First,
37,2677,7.2292,Third,
40,2651,11.2417,Third,
43,349253,7.8958,Third,
44,SC/Paris 2123,41.5792,Second,
49,2662,21.6792,Third,
53,PC 17572,76.7292,First,D33
55,113509,61.9792,First,B30
58,2697,7.2292,Third,
61,2669,7.2292,Third,
65,PC 17605,27.7208,First,
66,2661,15.2458,Third,
74,2680,14.4542,Third,
97,PC 17754,34.6542,First,A5
98,PC 17759,63.3583,First,D10 D12
112,2665,14.4542,Third,
115,2627,14.4583,Third,
119,PC 17558,247.5208,First,B58 B60
123,237736,30.0708,Second,
126,2651,11.2417,Third,
129,2668,22.3583,Third,F E69
131,349241,7.8958,Third,
136,SC/PARIS 2133,15.0458,Second,
140,PC 17593,79.2,First,B86
141,2678,15.2458,Third,
156,PC 17597,61.3792,First,
175,17764,30.6958,First,A7
178,PC 17595,28.7125,First,C49
182,SC/PARIS 2131,15.05,Second,
195,PC 17610,27.7208,First,B4
196,PC 17569,146.5208,First,B80
204,2628,7.225,Third,
208,2699,18.7875,Third,
210,112277,31.0,First,A31
216,35273,113.275,First,D36
219,11813,76.2917,First,D15
241,2665,14.4542,Third,
245,2694,7.225,Third,
256,2650,15.2458,Third,
257,PC 17585,79.2,First,
259,PC 17755,512.3292,First,
274,PC 17596,29.7,First,C118
286,349239,8.6625,Third,
292,11967,91.0792,First,B49
293,SC/Paris 2163,12.875,Second,D
296,PC 17612,27.7208,First,
297,2693,7.2292,Third,
300,PC 17558,247.5208,First,B58 B60
307,17421,110.8833,First,
308,PC 17758,108.9,First,C65
309,P/PP 3381,24.0,Second,
310,PC 17485,56.9292,First,E36
311,11767,83.1583,First,C54
312,PC 17608,262.375,First,B57 B59 B63 B66
320,16966,134.5,First,E34
326,PC 17760,135.6333,First,C32
330,111361,57.9792,First,B18
338,16966,134.5,First,E40
353,2695,7.2292,Third,
355,2647,7.225,Third,
362,SC/PARIS 2167,27.7208,Second,
363,2691,14.4542,Third,
367,110813,75.25,First,D37
368,2626,7.2292,Third,
370,PC 17477,69.3,First,B35
371,11765,55.4417,First,E50
374,PC 17760,135.6333,First,
376,PC 17604,82.1708,First,
378,113503,211.5,First,C82
379,2648,4.0125,Third,
381,PC 17757,227.525,First,
382,2653,15.7417,Third,
390,SC 1748,12.0,Second,
394,35273,113.275,First,D36
421,349254,7.8958,Third,
449,2666,19.2583,Third,
453,113051,27.75,First,C111
454,17453,89.1042,First,C92
456,349240,7.8958,Third,
470,2666,19.2583,Third,
474,SC/AH Basle 541,13.7917,Second,D
485,11967,91.0792,First,B49
488,11771,29.7,First,B37
494,PC 17609,49.5042,First,
496,2627,14.4583,Third,
497,36947,78.2667,First,D20
506,PC 17758,108.9,First,C65
514,PC 17603,59.4,First,
523,2624,7.225,Third,
524,111361,57.9792,First,B18
525,2700,7.2292,Third,
532,2641,7.2292,Third,
533,2690,7.2292,Third,
534,2668,22.3583,Third,
538,PC 17761,106.425,First,
540,13568,49.5,First,B39
545,PC 17761,106.425,First,C86
548,SC/PARIS 2146,13.8625,Second,
551,17421,110.8833,First,C70
554,2620,7.225,Third,
557,11755,39.6,First,A16
558,PC 17757,227.525,First,
569,2686,7.2292,Third,
579,2689,14.4583,Third,
582,17421,110.8833,First,C68
584,13049,40.125,First,A10
585,3411,8.7125,Third,
588,13567,79.2,First,B41
592,36947,78.2667,First,D20
599,2664,7.225,Third,
600,PC 17485,56.9292,First,A20
605,111426,26.55,First,
609,SC/Paris 2123,41.5792,Second,
621,2659,14.4542,Third,
623,2653,15.7417,Third,
633,13214,30.5,First,B50
642,PC 17477,69.3,First,B35
645,2666,19.2583,Third,
646,PC 17572,76.7292,First,D33
648,13213,35.5,First,A26
660,35273,113.275,First,D48
662,2623,7.225,Third,
680,PC 17755,512.3292,First,B51 B53 B55
682,PC 17572,76.7292,First,D49
686,SC/Paris 2123,41.5792,Second,
692,349256,13.4167,Third,
694,2672,7.225,Third,
699,17421,110.8833,First,C68
701,PC 17757,227.525,First,C62 C64
703,2691,14.4542,Third,
710,2661,15.2458,Third,
711,PC 17482,49.5042,First,C90
717,PC 17757,227.525,First,C45
732,2699,18.7875,Third,
738,PC 17755,512.3292,First,B101
743,PC 17608,262.375,First,B57 B59 B63 B66
763,2663,7.2292,Third,
767,112379,39.6,First,
774,2674,7.225,Third,
781,2687,7.2292,Third,
790,PC 17593,79.2,First,B82 B84
794,PC 17600,30.6958,First,
799,2685,7.2292,Third,
804,2625,8.5167,Third,
818,S.C./PARIS 2079,37.0042,Second,
828,S.C./PARIS 2079,37.0042,Second,
831,2659,14.4542,Third,
833,2671,7.2292,Third,
836,PC 17756,83.1583,First,E49
840,11774,29.7,First,C47
843,113798,31.0,First,
844,2683,6.4375,Third,
848,349213,7.8958,Third,
850,17453,89.1042,First,C92
853,2678,15.2458,Third,
859,2666,19.2583,Third,
860,2629,7.2292,Third,
867,SC/PARIS 2149,13.8583,Second,
875,P/PP 3381,24.0,Second,
876,2667,7.225,Third,
880,11767,83.1583,First,C50
890,111369,30.0,First,C148
