pssg_id,ticket,fare,class,cabin
1,A/5 21171,7.25,Third,
3,STON/O2. 3101282,7.925,Third,
4,113803,53.1,First,C123
5,373450,8.05,Third,
7,17463,51.8625,First,E46
8,349909,21.075,Third,
9,347742,11.1333,Third,
11,PP 9549,16.7,Third,G6
12,113783,26.55,First,C103
13,A/5. 2151,8.05,Third,
14,347082,31.275,Third,
15,350406,7.8542,Third,
16,248706,16.0,Second,
18,244373,13.0,Second,
19,345763,18.0,Third,
21,239865,26.0,Second,
22,248698,13.0,Second,D56
24,113788,35.5,First,A6
25,349909,21.075,Third,
26,347077,31.3875,Third,
28,19950,263.0,First,C23 C25 C27
30,349216,7.8958,Third,
34,C.A. 24579,10.5,Second,
36,113789,52.0,First,
38,A./5. 2152,8.05,Third,
39,345764,18.0,Third,
41,7546,9.475,Third,
42,11668,21.0,Second,
46,S.C./A.4. 23567,8.05,Third,
50,349237,17.8,Third,
51,3101295,39.6875,Third,
52,A/4. 39886,7.8,Third,
54,2926,26.0,Second,
56,19947,35.5,First,C52
57,C.A. 31026,10.5,Second,
59,C.A. 34651,27.75,Second,
60,CA 2144,46.9,Third,
63,36973,83.475,First,C83
64,347088,27.9,Third,
67,C.A. 29395,10.5,Second,F33
68,S.P. 3464,8.1583,Third,
69,3101281,7.925,Third,
70,315151,8.6625,Third,
71,C.A. 33111,10.5,Second,
72,CA 2144,46.9,Third,
73,S.O.C. 14879,73.5,Second,
75,1601,56.4958,Third,
76,348123,7.65,Third,F G73
77,349208,7.8958,Third,
78,374746,8.05,Third,
79,248738,29.0,Second,
80,364516,12.475,Third,
81,345767,9.0,Third,
82,345779,9.5,Third,
84,113059,47.1,First,
85,SO/C 14885,10.5,Second,
86,3101278,15.85,Third,
87,W./C. 6608,34.375,Third,
88,SOTON/OQ 392086,8.05,Third,
89,19950,263.0,First,C23 C25 C27
90,343275,8.05,Third,
91,343276,8.05,Third,
92,347466,7.8542,Third,
93,W.E.P. 5734,61.175,First,E31
94,C.A. 2315,20.575,Third,
95,364500,7.25,Third,
96,374910,8.05,Third,
99,231919,23.0,Second,
100,244367,26.0,Second,
101,349245,7.8958,Third,
102,349215,7.8958,Third,
103,35281,77.2875,First,D26
104,7540,8.6542,Third,
105,3101276,7.925,Third,
106,349207,7.8958,Third,
107,343120,7.65,Third,
108,312991,7.775,Third,
109,349249,7.8958,Third,
111,110465,52.0,First,C110
113,324669,8.05,Third,
114,4136,9.825,Third,
116,STON/O 2. 3101294,7.925,Third,
118,11668,21.0,Second,
120,347082,31.275,Third,
121,S.O.C. 14879,73.5,Second,
122,A4. 54510,8.05,Third,
124,27267,13.0,Second,E101
125,35281,77.2875,First,D26
128,C 17369,7.1417,Third,
130,347061,6.975,Third,
132,SOTON/O.Q. 3101307,7.05,Third,
133,A/5. 3337,14.5,Third,
134,228414,26.0,Second,
135,C.A. 29178,13.0,Second,
137,11752,26.2833,First,D47
138,113803,53.1,First,C123
139,7534,9.2167,Third,
142,347081,7.75,Third,
