internal_id,description,format,brand,units,category_id,source_id
23721,CAFÉ EN CÁPSULA DESCAFEINADO TASSIMO PAQUETE 16 CÁPSULAS (118 G),PAQUETE,TASSIMO,16,D40-44-03,1
23722,CAFÉ SOLUBLE SELECCIÓN HACENDADO BOTE 100 G,BOTE,HACENDADO,1,D40-41-00,1
23723,CAFÉ MOLIDO DESCAFEINADO HACENDADO ESPRESSO PAQUETE 250 G,PAQUETE,HACENDADO,1,D40-42-03,1
23724,CAFÉ EN CÁPSULA CORTADO TASSIMO PAQUETE 16 CÁPSULAS (184 G),PAQUETE,TASSIMO,16,D40-44-03,1
23725,FLAN DE CAFÉ HACENDADO 4 UD. X 100 G ,4 UD X 100 G,HACENDADO,1,D73-10-00,1
23726,FILTROS DE CAFÉ PARA CAFETERAS TAMAÑO 2 Y 4 BOSQUE VERDE CAJA 100 FILTROS,CAJA,BOSQUE VERDE,1,D40-90-04,1
23729,BEBIDA DE AVENA CON CAFÉ HACENDADO VASO 250 ML,VASO,HACENDADO,1,D76-00-02,1
23730,BEBIDA DE SOJA SABOR CAFÉ HACENDADO BRICK 1 L,1 L,HACENDADO,1,D76-00-04,1
23731,BEBIDA DE SOJA SABOR CAFÉ HACENDADO 6 BRICKS X 1 L ,6 BRICKS X 1 L,HACENDADO,1,D76-00-04,1
23735,REFRESCO COCA-COLA SIN CAFEÍNA LATA 330 ML,33 CL,COCA-COLA,1,B60-10-02,1
23736,REFRESCO COCA-COLA SIN CAFEÍNA BOTELLA 2 L,2 L,COCA-COLA,1,B60-10-02,1
23737,REFRESCO COCA-COLA ZERO ZERO 12 LATAS X 330 ML ,12 X 33 CL,COCA-COLA,12,B60-10-04,1
23738,REFRESCO COCA-COLA ZERO ZERO 2 BOTELLAS X 2 L ,2 X 2 L,COCA-COLA,2,B60-10-04,1
23739,REFRESCO COCA-COLA ZERO ZERO LATA 330 ML,33 CL,COCA-COLA,1,B60-10-04,1
23740,REFRESCO COCA-COLA ZERO ZERO BOTELLA 2 L,2 L,COCA-COLA,1,B60-10-04,1
23741,INFUSIÓN MENTA POLEO HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-01,1
23742,INFUSIÓN MANZANILLA CON ANÍS HACENDADO CAJA 20 BOLSITAS (26 G),CAJA,HACENDADO,1,D40-90-01,1
23743,INFUSIÓN JENGIBRE HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-01,1
23744,INFUSIÓN DORMIR HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-01,1
23745,"INFUSIÓN MANZANILLA HACENDADO CAJA 20 BOLSITAS (33,4 G)",CAJA,HACENDADO,1,D40-90-01,1
23746,INFUSIÓN TILA HACENDADO CAJA 20 BOLSITAS (24 G),CAJA,HACENDADO,1,D40-90-01,1
23747,INFUSIÓN MANZANILLA SABOR A MIEL HACENDADO CAJA 20 BOLSITAS (26 G),CAJA,HACENDADO,1,D40-90-01,1
23748,INFUSIÓN FRUTOS ROJOS HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-01,1
23749,INFUSIÓN COLA DE CABALLO HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-01,1
23750,INFUSIÓN DIGEST HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-01,1
23751,INFUSIÓN ROOIBOS CÍTRICOS HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-01,1
23752,INFUSIÓN RELAX HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-01,1
23753,INFUSIÓN MANZANA Y CANELA HACENDADO CAJA 20 BOLSITAS (40 G),CAJA,HACENDADO,1,D40-90-01,1
23754,INFUSIÓN QUEMA GRASAS HACENDADO CAJA 20 BOLSITAS (30 G),CAJA,HACENDADO,1,D40-90-01,1
